fitValue/0/value/intVal,originDataSourceId,endTimeNanos,dataTypeName,startTimeNanos,modifiedTimeMillis,rawTimestampNanos
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5759E+18,com.google.sleep.segment,1.5759E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5759E+18,com.google.sleep.segment,1.5759E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5759E+18,com.google.sleep.segment,1.5759E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57591E+18,com.google.sleep.segment,1.5759E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57592E+18,com.google.sleep.segment,1.57591E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57592E+18,com.google.sleep.segment,1.57592E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57596E+18,com.google.sleep.segment,1.57595E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57596E+18,com.google.sleep.segment,1.57596E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57597E+18,com.google.sleep.segment,1.57597E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57598E+18,com.google.sleep.segment,1.57598E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57598E+18,com.google.sleep.segment,1.57598E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57599E+18,com.google.sleep.segment,1.57598E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57599E+18,com.google.sleep.segment,1.57599E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57599E+18,com.google.sleep.segment,1.57599E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57599E+18,com.google.sleep.segment,1.57599E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57624E+18,com.google.sleep.segment,1.57624E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57625E+18,com.google.sleep.segment,1.57625E+18,1.60686E+12,0
